Player ID,Player Name,Team Name,Statistic Name,Correlation Coefficient
4693,Brandon Clarke,Memphis Grizzlies,FG Percent Ratio,1.3969631236442517
4693,Brandon Clarke,Memphis Grizzlies,FG Percent from 2P Range Diff,0.14700000000000002
4693,Brandon Clarke,Memphis Grizzlies,FG Percent from 2P Range Ratio,1.2832369942196533
4693,Brandon Clarke,Memphis Grizzlies,FG Percent from 3P Range Diff,-0.12599999999999997
4693,Brandon Clarke,Memphis Grizzlies,FG Percent from 3P Range Ratio,0.6430594900849859
4472,Bam Adebayo,Miami Heat,FG Percent Diff,0.09000000000000002
4472,Bam Adebayo,Miami Heat,FG Percent Ratio,1.1927194860813706
4472,Bam Adebayo,Miami Heat,FG Percent from 2P Range Diff,0.031000000000000028
4472,Bam Adebayo,Miami Heat,FG Percent from 2P Range Ratio,1.0583804143126176
4472,Bam Adebayo,Miami Heat,FG Percent from 3P Range Diff,-0.379
4472,Bam Adebayo,Miami Heat,FG Percent from 3P Range Ratio,0
4307,Bobby Portis,Milwaukee Bucks,FG Percent Diff,0.010999999999999954
4307,Bobby Portis,Milwaukee Bucks,FG Percent Ratio,1.0235042735042734
4307,Bobby Portis,Milwaukee Bucks,FG Percent from 2P Range Diff,-0.01100000000000001
4307,Bobby Portis,Milwaukee Bucks,FG Percent from 2P Range Ratio,0.9797794117647058
4307,Bobby Portis,Milwaukee Bucks,FG Percent from 3P Range Diff,0.027000000000000024
4307,Bobby Portis,Milwaukee Bucks,FG Percent from 3P Range Ratio,1.0737704918032787
4808,Anthony Edwards,Minnesota Timberwolves,FG Percent Diff,-0.016000000000000014
4808,Anthony Edwards,Minnesota Timberwolves,FG Percent Ratio,0.9649890590809628
4808,Anthony Edwards,Minnesota Timberwolves,FG Percent from 2P Range Diff,-0.02100000000000002
4808,Anthony Edwards,Minnesota Timberwolves,FG Percent from 2P Range Ratio,0.961111111111111
4808,Anthony Edwards,Minnesota Timberwolves,FG Percent from 3P Range Diff,-0.0010000000000000009
4808,Anthony Edwards,Minnesota Timberwolves,FG Percent from 3P Range Ratio,0.9972067039106145
4583,Alize Johnson,New Orleans Pelicans,FG Percent Diff,-0.15700000000000003
4583,Alize Johnson,New Orleans Pelicans,FG Percent Ratio,0.6564551422319475
4583,Alize Johnson,New Orleans Pelicans,FG Percent from 2P Range Diff,-0.22800000000000004
4583,Alize Johnson,New Orleans Pelicans,FG Percent from 2P Range Ratio,0.5681818181818181
4583,Alize Johnson,New Orleans Pelicans,FG Percent from 3P Range Diff,-0.332
4583,Alize Johnson,New Orleans Pelicans,FG Percent from 3P Range Ratio,0
3982,Alec Burks,New York Knicks,FG Percent Diff,-0.045999999999999985
3982,Alec Burks,New York Knicks,FG Percent Ratio,0.8947368421052632
3982,Alec Burks,New York Knicks,FG Percent from 2P Range Diff,-0.119
3982,Alec Burks,New York Knicks,FG Percent from 2P Range Ratio,0.7605633802816901
3982,Alec Burks,New York Knicks,FG Percent from 3P Range Diff,0.04700000000000004
3982,Alec Burks,New York Knicks,FG Percent from 3P Range Ratio,1.131652661064426
4900,Aaron Wiggins,Oklahoma City Thunder,FG Percent Diff,0.03300000000000003
